ISBN;AccessionNum;LoanID;Title;Genre;Category;Publisher;Author;Author;OnLoan;Stock;Language;YearOfPublication;Yazar ISBN Kodu
ISBN_000000000000009;ACCS_000000000000012;LOAN_000000000000012; Bedenin ?ifa Kap?lar?;Ki?isel Geli?im / Sa?l?k;Türk Edebiyat?;Can Yay?nlar?;Ebru Demirhan;Ebru;Demirhan;0;Türkçe;45419,52598;100009
ISBN_000000000000010;ACCS_000000000000013;LOAN_000000000000013; Be? ?air;Edebiyat / ?nceleme;Türk Edebiyat?;Can Yay?nlar?;Sadettin Kaplan;Sadettin;Kaplan;0;Türkçe;45429,39086;100010
ISBN_000000000000011;ACCS_000000000000014;LOAN_000000000000014; Be? ?ehir;Deneme / Edebiyat;Türk Edebiyat?;Can Yay?nlar?;Ahmet Hamdi Tanp?nar;Ahmet Hamdi;Tanp?nar;0;Türkçe;45449,40149;100011
ISBN_000000000000012;ACCS_000000000000015;LOAN_000000000000015; Beyaz ?iirler;?iir;Türk Edebiyat?;Can Yay?nlar?;Perihan Beyaz;Perihan;Beyaz;0;Türkçe;45449,42932;100012
ISBN_000000000000013;ACCS_000000000000016;LOAN_000000000000016; Beyhude Ömrüm;Roman / Öykü;Türk Edebiyat?;Can Yay?nlar?;Mustafa Kutlu;Mustafa;Kutlu;0;Türkçe;45419,53993;100013
ISBN_000000000000014;ACCS_000000000000017;LOAN_000000000000017; Bilinçli Genç Olmak;Ki?isel Geli?im / Psikoloji;Türk Edebiyat?;Can Yay?nlar?;Nevzat Tarhan;Nevzat;Tarhan;0;Türkçe;45415,54503;100014
ISBN_000000000000015;ACCS_000000000000018;LOAN_000000000000018; Bir Aziz Mahmud Hüdayi Roman? Ene;Tarihi Roman / Tasavvuf;Türk Edebiyat?;Can Yay?nlar?;Fatih Duman;Fatih;Duman;0;Türkçe;45443,47977;100015
ISBN_000000000000016;ACCS_000000000000019;LOAN_000000000000019; Bir Bayrak Rüzgar Bekliyor;?iir;Türk Edebiyat?;Can Yay?nlar?;Arif Nihat Asya;Arif Nihat;Asya;0;Türkçe;45419,54847;100016
ISBN_000000000000017;ACCS_000000000000020;LOAN_000000000000020; Bir Cihan Hükümdar? Fatih Sultan Mehmed;Tarih / Biyografi;Türk Edebiyat?;Yeditepe;Erhan Afyoncu;Erhan;Afyoncu;0;Türkçe;45443,55632;100017
ISBN_000000000000018;ACCS_000000000000021;LOAN_000000000000021; Bir Çanakkale Destan?/ Denizde Kopan F?rt?na;Çocuk ve Gençlik / Tarihi Öykü;Türk Edebiyat?;Can Yay?nlar?;Tuna Duran;Tuna;Duran;0;Türkçe;45419,50639;100018
ISBN_000000000000019;ACCS_000000000000022;LOAN_000000000000022; Bir Gencin Dram?;Roman / Klasik Öykü;Rus Edebiyat?;Yeditepe;Tolstoy;Nikolayeviç;Tolstoy;0;Türkçe;45449,40647;100019
ISBN_000000000000020;ACCS_000000000000023;LOAN_000000000000023; Bir Kalbi K?r?lmaktan Koruyabilsem;Deneme / Edebiyat;Türk Edebiyat?;Kap? Yay?nlar?;Kemal Sayar;Kemal;Sayar;0;Türkçe;45419,54245;100020
ISBN_000000000000021;ACCS_000000000000024;LOAN_000000000000024; Bir Tereddüdün Roman?;Roman / Psikolojik Roman;Türk Edebiyat?;Kap? Yay?nlar?;Peyami Safa;Peyami;Safa;0;Türkçe;45449,44561;100021
ISBN_000000000000022;ACCS_000000000000025;LOAN_000000000000025; Birden Bine;Edebiyat / Etimoloji Denemesi;Türk Edebiyat?;Kap? Yay?nlar?;As?m Gültekin;As?m;Gültekin;0;Türkçe;45434,49773;100022
ISBN_000000000000023;ACCS_000000000000026;LOAN_000000000000026; Biz ?nsanlar;Roman;Türk Edebiyat?;Kap? Yay?nlar?;Payam? Safa;Payam?;Safa;0;Türkçe;45434,49929;100023
ISBN_000000000000024;ACCS_000000000000027;LOAN_000000000000027; Bizim Akdeniz;Gezi Yaz?s? / An?;Türk Edebiyat?;Kap? Yay?nlar?;Falih R?fk? Atay;Falih R?fk?;Atay;0;Türkçe;45415,49928;100024
ISBN_000000000000025;ACCS_000000000000028;LOAN_000000000000028; Bo?aziçi'nde K?rk Y?l?m;An? / Tarih;Türk Edebiyat?;Kap? Yay?nlar?;Haluk Dursun;Haluk;Dursun;0;Türkçe;45449,4044;100025
ISBN_000000000000026;ACCS_000000000000029;LOAN_000000000000029; Bozgunda Fetih Rüyas?;Biyografi / Roman;Türk Edebiyat?;Kap? Yay?nlar?;Be?ir Ayvazo?lu;Be?ir;Ayvazo?lu;0;Türkçe;45415,53098;100026
ISBN_000000000000027;ACCS_000000000000030;LOAN_000000000000030; Bozk?rdaki Çekirdek;Tarih;Türk Edebiyat?;Kap? Yay?nlar?;Kemal Tahir;Kemal;Tahir;0;Türkçe;45443,55744;100020
ISBN_000000000000028;ACCS_000000000000031;LOAN_000000000000031; Bozkurtlar;E?itim / An?;Türk Edebiyat?;Kap? Yay?nlar?;Hüseyin Nihal Ats?z;Hüseyin Nihal;Ats?z;0;Türkçe;45415,53171;100027
ISBN_000000000000029;ACCS_000000000000032;LOAN_000000000000032; Bülbülü Öldürmek;Tarihi Roman;?ngiliz Edebiyat?;Kap? Yay?nlar?;Harper Lee;Harper;Lee;0;Türkçe;45447,37557;100028
ISBN_000000000000029;ACCS_000000000000033;LOAN_000000000000033; Bülbülü Öldürmek;Roman / Dünya Klasi?i;?ngiliz Edebiyat?;Epsilon Yay?nevi;Harper Lee;Harper;Lee;0;Türkçe;45429,38238;100028
ISBN_000000000000030;ACCS_000000000000034;LOAN_000000000000034; Bütün ?iirleri;Roman / Dünya Klasi?i;Türk Edebiyat?;Epsilon Yay?nevi;Orhan Veli;Orhan;Veli;0;Türkçe;45429,36564;100029
ISBN_000000000000031;ACCS_000000000000035;LOAN_000000000000035; Büyük Selçuklular;?iir;Türk Edebiyat?;Epsilon Yay?nevi;Cihan Piyadeo?lu;Cihan;Piyadeo?lu;0;Türkçe;45429,38113;100030
ISBN_000000000000032;ACCS_000000000000036;LOAN_000000000000036; Cennete Otostop;Tarih / Ara?t?rma;Türk Edebiyat?;Mecra;Adem Özkese;Adem;Özkese;0;Türkçe;45429,36748;100031
ISBN_000000000000033;ACCS_000000000000037;LOAN_000000000000037; Cumhuriyet Türk Mucizesi;Siyer / Din;Türk Edebiyat?;Büyük Do?u Yay?nlar?;Turgut Özakman;Turgut;Özakman;0;Türkçe;45429,38188;100032
ISBN_000000000000034;ACCS_000000000000038;LOAN_000000000000038; Ça? Ve ?laham II;Tarih;Türk Edebiyat?;Epsilon Yay?nevi;Sezai Karakoç;Sezai;Karakoç;0;Türkçe;45434,51259;100033
ISBN_000000000000035;ACCS_000000000000039;LOAN_000000000000039; Ça? Ve ?lham;Deneme / Dü?ünce;Türk Edebiyat?;Epsilon Yay?nevi;Sezai Karakoç;Sezai;Karakoç;0;Türkçe;45415,52866;100033
ISBN_000000000000036;ACCS_000000000000040;LOAN_000000000000040; Ça? Ve ?lham I;Deneme / Dü?ünce;Türk Edebiyat?;Epsilon Yay?nevi;Sezai Karakoç;Sezai;Karakoç;0;Türkçe;45415,51503;100033
ISBN_000000000000037;ACCS_000000000000041;LOAN_000000000000041; Ça? Ve ?lham IV;Deneme / Dü?ünce;Türk Edebiyat?;Epsilon Yay?nevi;Sezai Karakoç;Sezai;Karakoç;0;Türkçe;45419,52837;100033
ISBN_000000000000038;ACCS_000000000000042;LOAN_000000000000042; Ça?da? Bat? Dü?üncesiden;Deneme / Dü?ünce;Türk Edebiyat?;Epsilon Yay?nevi;Sezai Karakoç;Sezai;Karakoç;0;Türkçe;45449,45378;100033
ISBN_000000000000039;ACCS_000000000000043;LOAN_000000000000043; Ça?r???mlar Biz Kimiz?;Felsefe / Dü?ünce;Türk Edebiyat?;Mecra;Sava? Barkçin;Sava?;Barkçin;0;Türkçe;45415,51252;100034
ISBN_000000000000040;ACCS_000000000000044;LOAN_000000000000044; Çalan Kimin ?çin Çal?yor;Deneme / Psikoloji;?ngiliz Edebiyat?;Mecra;Ernest Hemingway;Ernest;Hemingway;0;Türkçe;45449,45493;100035
ISBN_000000000000041;ACCS_000000000000045;LOAN_000000000000045; Çanakkale Mah?eri;Roman / Dünya Klasi?i;Türk Edebiyat?;Mecra;Mehmed Niyazi;Mehmed;Niyazi;0;Türkçe;45443,48685;100036
ISBN_000000000000042;ACCS_000000000000046;LOAN_000000000000046; Çannakale Sava?lar? Ve Sava? Alanlar? Rehberi;Tarihi Roman;Türk Edebiyat?;Mecra;Burhan Say?n;Burhan;Say?n;0;Türkçe;45419,50058;100037
ISBN_000000000000043;ACCS_000000000000047;LOAN_000000000000047; Çile;Roman;Türk Edebiyat?;Mecra;Necip Faz?l K?sakürek;Necip Faz?l;K?sakürek;0;Türkçe;45449,3976;100038
ISBN_000000000000044;ACCS_000000000000048;LOAN_000000000000048; Çin  Müslümanlar? Ve Çim'E Syahat;?iir / Deneme;Türk Edebiyat?;Mecra;?hsan Süreyya S?rma;?hsan Süreyya;S?rma;0;Türkçe;45447,38523;100039
ISBN_000000000000045;ACCS_000000000000049;LOAN_000000000000049; Çöle ?nen Nur;Gezi / Ara?t?rma;Türk Edebiyat?;Büyük Do?u Yay?nlar?;Necip Faz?l;Necip;Faz?l;0;Türkçe;45419,50199;100040
ISBN_000000000000046;ACCS_000000000000050;LOAN_000000000000050; Da? Çiçeklerim;Tarih / ?nceleme;Türk Edebiyat?;Büyük Do?u Yay?nlar?;S?d?ka Avar;S?d?ka;Avar;0;Türkçe;44901,47632;100041
ISBN_000000000000047;ACCS_000000000000051;LOAN_000000000000051; Da? Yol?nda Karanl?k Birikiyor;An? / Deneme;Türk Edebiyat?;Büyük Do?u Yay?nlar?;Hüseyin K?ran;Hüseyin;K?ran;0;Türkçe;45419,54204;100042
ISBN_000000000000048;ACCS_000000000000052;LOAN_000000000000052; Degirmenimden Mektuplar;Roman;Dünya Edebiyat?;Büyük Do?u Yay?nlar?;Alphonse Dauet;Alphonse;Dauet;0;Türkçe;45415,52487;100043
ISBN_000000000000049;ACCS_000000000000053;LOAN_000000000000053; Denemeler;Deneme / Mektup;Felsefe ve Psikoloji;Büyük Do?u Yay?nlar?;Monta?gne;Monta?gne;0;0;Türkçe;45419,5344;100044
ISBN_000000000000050;ACCS_000000000000053;LOAN_000000000000054; Denemeler;Deneme;Frans?z Edebiyat?;Büyük Do?u Yay?nlar?;Montaigne;Montaigne;0;0;Türkçe;45429,44198;100045
ISBN_000000000000051;ACCS_000000000000054;LOAN_000000000000055; Devlet;Deneme;Felsefe ve Psikoloji;Büyük Do?u Yay?nlar?;Platon;Platon;0;0;Türkçe;45429,44376;100046
ISBN_000000000000052;ACCS_000000000000055;LOAN_000000000000056; Devlet-? Aliyye / Osmanl? ?mparatorlu?u Üzerine Ara?t?rmalar I?;Felsefe / Siyaset;Türk Edebiyat?;Büyük Do?u Yay?nlar?;Halil ?nalc?k;Halil;?nalc?k;0;Türkçe;45429,44439;100047
ISBN_000000000000053;ACCS_000000000000056;LOAN_000000000000057; Devlet-? Aliyye / Osmanl? ?mparatorlu?u Üzerine Ara?t?rmalar I??;Tarih;Türk Edebiyat?;Büyük Do?u Yay?nlar?;Halil ?nalc?k;Halil;?nalc?k;0;Türkçe;45429,44638;100047
ISBN_000000000000054;ACCS_000000000000057;LOAN_000000000000058; Devlet-? Aliyye / Osmanl? ?mparatorlu?u Üzerine Ara?t?rmalar Iv;Tarih;Türk Edebiyat?;Büyük Do?u Yay?nlar?;Halil ?nalc?k;Halil;?nalc?k;0;Türkçe;45434,51782;100047
ISBN_000000000000055;ACCS_000000000000058;LOAN_000000000000059; Devlet-? Aliyye / Osmanl? ?mparatorlu?u Üzerine Ara?t?rmalar V;Tarih;Türk Edebiyat?;Büyük Do?u Yay?nlar?;Halil ?nalc?k;Halil;?nalc?k;0;Türkçe;45449,39213;100047
ISBN_000000000000056;ACCS_000000000000059;LOAN_000000000000060; Din Ve Medeniyet Üzerine;Tarih;Din ve Mitoloji;Mahya Yay?nc?l?k;Ebul Hasan En-Nedvi;Ebul Hasan;En-Nedvi;0;Türkçe;45419,55295;100048
ISBN_000000000000057;ACCS_000000000000060;LOAN_000000000000061; Dirili? Felsefesi;Din / Dü?ünce;Türk Edebiyat?;Mahya Yay?nc?l?k;Cafer Barlas;Cafer;Barlas;0;Türkçe;45415,52951;100049
ISBN_000000000000058;ACCS_000000000000061;LOAN_000000000000062; Dirili? Hakikat Sözlü?ü;Felsefe / Dü?ünce;Türk Edebiyat?;Mahya Yay?nc?l?k;Cafer Barlas;Cafer;Barlas;0;Türkçe;45419,53372;100049
ISBN_000000000000059;ACCS_000000000000062;LOAN_000000000000063; Do?u Bat? Aras?nda ?slam;Deneme / Dü?ünce;Din ve Mitoloji;Mahya Yay?nc?l?k;Aliya ?zzetbegovic;Aliya;?zzetbegovic;0;Türkçe;45415,54072;100050
ISBN_000000000000060;ACCS_000000000000063;LOAN_000000000000064; Do?u I??g?;Dü?ünce / Din;Türk Edebiyat?;Mahya Yay?nc?l?k;Ali Haydar Aksan;Ali Haydar;Aksan;0;Türkçe;45434,49502;100051
ISBN_000000000000061;ACCS_000000000000064;LOAN_000000000000065; Do?u'Nun Limanlar?;Deneme / Dü?ünce;Dünya Edebiyat?;Mahya Yay?nc?l?k;Amin Maalouf;Amin;Maalouf;0;Türkçe;45443,51719;100052
ISBN_000000000000062;ACCS_000000000000065;LOAN_000000000000066; Dostluk Üzerine;Roman;Türk Edebiyat?;?z Yay?nc?l?k;Fethi Gemuho?lu;Fethi;Gemuho?lu;0;Türkçe;45434,51938;100053
ISBN_000000000000063;ACCS_000000000000066;LOAN_000000000000067; Dostluk Üzerine;Deneme / Felsefe;Türk Edebiyat?;Türkiye ?? Bankas? Kültür Yay?nlar?;Hasan Ali Yücel;Hasan Ali;Yücel;0;Türkçe;45447,36572;100054
ISBN_000000000000064;ACCS_000000000000067;LOAN_000000000000068; Drina Köprüsü;Deneme / Felsefe;Dünya Edebiyat?;?leti?im;?vo Andriç;?vo;Andriç;0;Türkçe;45449,42241;100055
ISBN_000000000000065;ACCS_000000000000068;LOAN_000000000000069; Dünya Hakknda Do?ru Bilinen  Yanl??lar;Tarihi Roman;Tarih ve Co?rafya;?leti?im;Matth Brown;Matth;Brown;0;Türkçe;45443,5666;100056
ISBN_000000000000066;ACCS_000000000000069;LOAN_000000000000070; Dünyay? Güzelle?tirmek;Popüler Bilim;Türk Edebiyat?;?leti?im;Be?ir Ayvazo?lu;Be?ir;Ayvazo?lu;0;Türkçe;45429,37435;100026
ISBN_000000000000067;ACCS_000000000000070;LOAN_000000000000071; Dü?ünme Ve Konu?ma Söz Üzerine;Deneme;Felsefe ve Psikoloji;?nsan;?mam-I Gazali;?mam-I;Gazali;0;Türkçe;45449,44711;100057
ISBN_000000000000068;ACCS_000000000000071;LOAN_000000000000072; Edebiyat Yaz?lar? I?;Dil / Dü?ünce;Türk Edebiyat?;?nsan;Sezai Karakoç;Sezai;Karakoç;0;Türkçe;45449,44803;100033
ISBN_000000000000069;ACCS_000000000000072;LOAN_000000000000073; Edebiyat Yaz?lar? I??;Edebiyat ?ncelemesi;Türk Edebiyat?;?nsan;Sezai Karakoç;Sezai;Karakoç;0;Türkçe;45429,46193;100033
ISBN_000000000000070;ACCS_000000000000073;LOAN_000000000000074; Edebiyat?n Ustalar?;Edebiyat ?ncelemesi;Türk Edebiyat?;?nsan;Yusuf Tosun;Yusuf;Tosun;0;Türkçe;45449,39874;100058
ISBN_000000000000071;ACCS_000000000000074;LOAN_000000000000075; Efsane;Edebiyat ?ncelemesi;Türk Edebiyat?;?nsan;?skender Pala;?skender;Pala;0;Türkçe;45434,50588;100059
ISBN_000000000000072;ACCS_000000000000075;LOAN_000000000000076; E?itimc Anne Serisi Ö?renmeyi Nas?l Ö?reniyoruz Ana;Roman;Türk Edebiyat?;?nsan;Caner Güzin;Caner;Güzin;0;Türkçe;45434,52351;100060
ISBN_000000000000073;ACCS_000000000000076;LOAN_000000000000077; El Turko Günlükleri;E?itim / Çocuk Geli?imi;Türk Edebiyat?;Profil Kitap;?srafil Kuralay;?srafil;Kuralay;0;Türkçe;45449,42441;100061
ISBN_000000000000074;ACCS_000000000000077;LOAN_000000000000078; Emanet Hikayeler;Tarih / Günlük;Türk Edebiyat?;Profil Kitap;Necip Tosun;Necip;Tosun;0;Türkçe;45419,52779;100040
ISBN_000000000000075;ACCS_000000000000078;LOAN_000000000000079; Empati;Hikâye;Felsefe ve Psikoloji;Profil Kitap;Mona Kino;Mona;Kino;0;Türkçe;45449,44924;100062
ISBN_000000000000076;ACCS_000000000000079;LOAN_000000000000080; Eshab? Kiram;Ki?isel Geli?im / Roman;Türk Edebiyat?;Profil Kitap;Ahmet Faruk;Ahmet;Faruk;0;Türkçe;45449,41841;100063
ISBN_000000000000077;ACCS_000000000000080;LOAN_000000000000081; E?ref Saat;Din / Biyografi;Türk Edebiyat?;Profil Kitap;?evket Rado;?evket;Rado;0;Türkçe;45449,36443;100064
ISBN_000000000000078;ACCS_000000000000081;LOAN_000000000000082; Etimotoloji Vadisinde;Deneme;Türk Edebiyat?;Profil Kitap;As?m Gültkin;As?m;Gültkin;0;Türkçe;45429,44831;100022
ISBN_000000000000079;ACCS_000000000000082;LOAN_000000000000083; Etkili Ö?retmenlik;Dil / Ara?t?rma;Türk Edebiyat?;Profil Kitap;Taner Ta?tekin;Taner;Ta?tekin;0;Türkçe;45419,50838;100065
ISBN_000000000000080;ACCS_000000000000083;LOAN_000000000000084; Eylül;E?itim;Türk Edebiyat?;Profil Kitap;Mehmet Rauf;Mehmet;Rauf;0;Türkçe;45415,5424;100066
ISBN_000000000000081;ACCS_000000000000084;LOAN_000000000000085; Fabrika Ayar?;Roman / Türk Klasi?i;Türk Edebiyat?;Profil Kitap;Hayati ?nanç/ Bekir Develi;Hayati ?nanç/ Bekir;Develi;0;Türkçe;45415,54245;100067
ISBN_000000000000082;ACCS_000000000000085;LOAN_000000000000086; Fareler Ve ?nsanlar;Deneme / Güncel Dü?ünce;Dünya Edebiyat?;Profil Kitap;John Steinbeck;John;Steinbeck;0;Türkçe;45415,4964;100068
ISBN_000000000000082;ACCS_000000000000086;LOAN_000000000000087; Fareler Ve ?nsanlar;Roman / Dünya Klasi?i;Dünya Edebiyat?;Sel Yay?nlar?;John Steinbeck;John;Steinbeck;0;Türkçe;45443,56367;100068
ISBN_000000000000083;ACCS_000000000000087;LOAN_000000000000088; Felatun Bey ?le Rah?m Efendi;Roman / Dünya Klasi?i;Türk Edebiyat?;Sel Yay?nlar?;Ahmet Mithat Efendi;Ahmet Mithat;Efendi;0;Türkçe;45449,43705;100069
ISBN_000000000000084;ACCS_000000000000088;LOAN_000000000000089; Fihi Ma Fih;Roman / Türk Klasi?i;Türk Edebiyat?;Sel Yay?nlar?;Mevlana Celaleddin Rumi;Mevlana Celaleddin;Rumi;0;Türkçe;45443,54043;100070
ISBN_000000000000085;ACCS_000000000000089;LOAN_000000000000090; Fuat Sezgin ?le Bilim  Tarihi Sohbetleri;Tasavvuf / Sohbet;Türk Edebiyat?;P?nar Yay?nlar?;Sefer Turan;Sefer;Turan;0;Türkçe;45435,49405;100071
ISBN_000000000000086;ACCS_000000000000090;LOAN_000000000000091; Fuat Sezgin ?le Bilim Tarihi Sohbetleri;Bilim Tarihi;Türk Edebiyat?;P?nar Yay?nlar?;Sefer Turan;Sefer;Turan;0;Türkçe;45435,49701;100071
ISBN_000000000000087;ACCS_000000000000091;LOAN_000000000000092; Fusu'L-Hikem;Bilim Tarihi;Din ve Mitoloji;P?nar Yay?nlar?;?nbü'L Arabi;?nbü'L;Arabi;0;Türkçe;45449,47481;100072
ISBN_000000000000088;ACCS_000000000000092;LOAN_000000000000093; Gelecek Zamanda Dü?ünmek;Tasavvuf / Felsefe;Ki?isel Geli?im;P?nar Yay?nlar?;Jannifer James;Jannifer;James;0;Türkçe;45449,43291;100073
ISBN_000000000000089;ACCS_000000000000093;LOAN_000000000000094; Gençlerle Ba? Ba?a;Deneme / Gelecek Ara?t?rmalar?;Türk Edebiyat?;P?nar Yay?nlar?;Ali Fuad Ba?gil;Ali Fuad;Ba?gil;0;Türkçe;45449,3994;100074
ISBN_000000000000090;ACCS_000000000000094;LOAN_000000000000095; Giderken Söylenmi?tir;Gençlik / Deneme;Türk Edebiyat?;Onbe?inci Bask?;?brahim Tenekeci;?brahim;Tenekeci;0;Türkçe;45415,53894;100075
ISBN_000000000000091;ACCS_000000000000095;LOAN_000000000000096; Gök Kubbenin Alt?nda;?iir;Türk Edebiyat?;Onbe?inci Bask?;?brahim Kal?n;?brahim;Kal?n;0;Türkçe;45443,47722;100075
ISBN_000000000000092;ACCS_000000000000096;LOAN_000000000000097; Gül Ü Heran;Deneme / Edebiyat;Türk Edebiyat?;Onbe?inci Bask?;Kamil Çakar;Kamil;Çakar;0;Türkçe;45415,50663;100076
ISBN_000000000000093;ACCS_000000000000097;LOAN_000000000000098; Gül Yeti?tien Adam;Klasik Edebiyat / Mesnevi;Türk Edebiyat?;Onbe?inci Bask?;Rasim Özdenören;Rasim;Özdenören;0;Türkçe;45447,37135;100077
ISBN_000000000000094;ACCS_000000000000098;LOAN_000000000000099; Güldeste;Roman / Dü?ünce;Türk Edebiyat?;Onbe?inci Bask?;?skender Pala;?skender;Pala;0;Türkçe;45447,364;100059
ISBN_000000000000095;ACCS_000000000000099;LOAN_000000000000100; Gün Do?madan;?iir;Türk Edebiyat?;Onbe?inci Bask?;Sezai Karakoç;Sezai;Karakoç;0;Türkçe;45447,36404;100033
ISBN_000000000000096;ACCS_000000000000100;LOAN_000000000000101; Günden Güne;?iir / Deneme;Türk Edebiyat?;Onbe?inci Bask?;Osman Y?ld?z;Osman;Y?ld?z;0;Türkçe;45429,46365;100078
ISBN_000000000000097;ACCS_000000000000101;LOAN_000000000000102; Gündönümü;?iir;Türk Edebiyat?;Onbe?inci Bask?;Sezai Karakoç;Sezai;Karakoç;0;Türkçe;45429,36648;100033
ISBN_000000000000098;ACCS_000000000000102;LOAN_000000000000103; Güzel ?ahitlik;Roman;Türk Edebiyat?;Onbe?inci Bask?;Saadetiin Acar;Saadetiin;Acar;0;Türkçe;45415,50789;100079
ISBN_000000000000099;ACCS_000000000000103;LOAN_000000000000104; Hababam S?n?f?;Deneme / Din;Türk Edebiyat?;Onbe?inci Bask?;Mustafa Yasir Kaçmaz;Mustafa Yasir;Kaçmaz;0;Türkçe;45419,49582;100080
ISBN_000000000000100;ACCS_000000000000104;LOAN_000000000000105; Hac? Murat;Mizah / Roman;Rus Edebiyat?;Onbe?inci Bask?;Tolstoy;Nikolayeviç;Tolstoy;0;Türkçe;45429,37902;100019
ISBN_000000000000101;ACCS_000000000000105;LOAN_000000000000106; Hayat Teselli Bulmakt?r;Roman / Dünya Klasi?i;Türk Edebiyat?;Onbe?inci Bask?;Kemal Sayar;Kemal;Sayar;0;Türkçe;45449,43758;100020
ISBN_000000000000102;ACCS_000000000000106;LOAN_000000000000107; Hayat?n Anlam?;Psikoloji / Deneme;Felsefe ve Psikoloji;Onbe?inci Bask?;Arthur Schopenhauer;Arthur;Schopenhauer;0;Türkçe;45419,54785;100081
ISBN_000000000000103;ACCS_000000000000107;LOAN_000000000000108; Haydi Namaza;Felsefe / Psikoloji;Türk Edebiyat?;Onbe?inci Bask?;Abdullah Y?ld?z;Abdullah;Y?ld?z;0;Türkçe;45415,53361;100082
ISBN_000000000000104;ACCS_000000000000108;LOAN_000000000000109; Hazan;Din / Çocuk;Türk Edebiyat?;Onbe?inci Bask?;Kamil Çak?r;Kamil;Çak?r;0;Türkçe;45449,45083;100076
ISBN_000000000000105;ACCS_000000000000109;LOAN_000000000000110; Hazan Mevsimi;?iir;Türk Edebiyat?;Onbe?inci Bask?;?brahim Yasak;?brahim;Yasak;0;Türkçe;45449,44466;100075
ISBN_000000000000106;ACCS_000000000000110;LOAN_000000000000111; Her Gün Hüzün Sol Aya??m 2;Roman;Otobiyografik Romanlar;Onbe?inci Bask?;Christy Brown;Christy;Brown;0;Türkçe;45449,43637;100083
ISBN_000000000000107;ACCS_000000000000111;LOAN_000000000000112; Herkes ?çin K?sa Osmanl? Tarihi;An? / Biyografi;Türk Edebiyat?;Yeditepe Yay?nlar?;Erhan Afyoncu;Erhan;Afyoncu;0;Türkçe;45449,40762;100017
ISBN_000000000000108;ACCS_000000000000112;LOAN_000000000000113; Herkes ?çin Siyer;Tarih;Türk Edebiyat?;Yeditepe Yay?nlar?;Muhammed Emin Y?ld?r?m/Bekir Develi;Muhammed Emin Y?ld?r?m/Bekir;Develi;0;Türkçe;45419,52685;100084
ISBN_000000000000109;ACCS_000000000000113;LOAN_000000000000114; Herkes ?çine Baks?n;Siyer / Din;Türk Edebiyat?;Profil Kitap;Saadettin Acar;Saadettin;Acar;0;Türkçe;45434,48653;100085
ISBN_000000000000110;ACCS_000000000000114;LOAN_000000000000115; Heykel Oburu;Deneme;Türk Edebiyat?;Profil Kitap;Mehmet Aksoy;Mehmet;Aksoy;0;Türkçe;45443,54795;100066
